"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AUS088-Set7aB11_S23.final.scaffolds.fasta.nohead.fasta","AUS089-Set7bE2_S2.final.scaffolds.fasta.nohead.fasta","AUS52.fasta","DUN-003B-Set9aC9_S33.final.scaffolds.fasta.nohead.fasta","DUN-004-Set9aC10_S34.final.scaffolds.fasta.nohead.fasta","ILPAO1.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MC_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MC_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MF_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MF_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MH_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MH_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MJ_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MJ_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MK_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MK_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","M_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","M_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","Pseudomonas_aeruginosa_PAO1_107.fna"
"cheW_2","","Chemotaxis protein CheW","19","19","1","1","7878","","","","485","485","485","CIGDOPNK_02353","BNMDDFNN_04134","NMHOBMPN_03802","LGHNJHKC_02939","DEIJMABD_05686","CDBGKAIK_02689","CECHFLPG_01495","IKEEPGDJ_01603","GDNBNODK_01306","LEACNAEK_00338","CABJIOEI_06146","GNFPCNDJ_01586","AELPJDKL_01272","LGGGIJGP_06249","BGKEFAEA_04112","BKCAIGBL_01660","BBPGNFAN_03989","JKFCCDBN_04666","DOOJPGAP_00182"
"fabG_6","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","19","19","1","1","8528","","","","758","758","758","CIGDOPNK_00858","BNMDDFNN_03518","NMHOBMPN_04457","LGHNJHKC_02212","DEIJMABD_04425","CDBGKAIK_04397","CECHFLPG_03069","IKEEPGDJ_03543","GDNBNODK_02607","LEACNAEK_01341","CABJIOEI_07507","GNFPCNDJ_03645","AELPJDKL_02851","LGGGIJGP_08262","BGKEFAEA_02468","BKCAIGBL_03719","BBPGNFAN_03256","JKFCCDBN_00926","DOOJPGAP_04534"
"group_10011","","hypothetical protein","19","19","1","1","8096","","","","323","323","323","CIGDOPNK_04799","BNMDDFNN_01653","NMHOBMPN_00503","LGHNJHKC_04242","DEIJMABD_01298","CDBGKAIK_02298","CECHFLPG_04821","IKEEPGDJ_04359","GDNBNODK_04398","LEACNAEK_05511","CABJIOEI_09079","GNFPCNDJ_05040","AELPJDKL_03761","LGGGIJGP_09184","BGKEFAEA_01432","BKCAIGBL_05117","BBPGNFAN_02394","JKFCCDBN_02600","DOOJPGAP_03818"
"secA","","Protein translocase subunit SecA","19","19","1","1","8514","","","","2750","2750","2750","CIGDOPNK_00844","BNMDDFNN_03532","NMHOBMPN_04443","LGHNJHKC_02197","DEIJMABD_04439","CDBGKAIK_04411","CECHFLPG_03055","IKEEPGDJ_03529","GDNBNODK_02593","LEACNAEK_01327","CABJIOEI_07521","GNFPCNDJ_03631","AELPJDKL_02837","LGGGIJGP_08248","BGKEFAEA_02454","BKCAIGBL_03705","BBPGNFAN_03242","JKFCCDBN_00912","DOOJPGAP_04548"
"group_10013","","hypothetical protein","19","19","1","1","9290","","","","287","287","287","CIGDOPNK_01574","BNMDDFNN_00874","NMHOBMPN_00094","LGHNJHKC_05524","DEIJMABD_05411","CDBGKAIK_02068","CECHFLPG_00841","IKEEPGDJ_00858","GDNBNODK_00596","LEACNAEK_04885","CABJIOEI_05514","GNFPCNDJ_00956","AELPJDKL_00636","LGGGIJGP_05619","BGKEFAEA_04796","BKCAIGBL_01032","BBPGNFAN_01474","JKFCCDBN_05498","DOOJPGAP_03390"
"iscA","","Iron-binding protein IscA","19","19","1","1","9130","","","","323","323","323","CIGDOPNK_04675","BNMDDFNN_01779","NMHOBMPN_00622","LGHNJHKC_04116","DEIJMABD_01164","CDBGKAIK_02418","CECHFLPG_04702","IKEEPGDJ_04478","GDNBNODK_04279","LEACNAEK_05630","CABJIOEI_08958","GNFPCNDJ_04920","AELPJDKL_03641","LGGGIJGP_09063","BGKEFAEA_01313","BKCAIGBL_04996","BBPGNFAN_02274","JKFCCDBN_02479","DOOJPGAP_03937"
"nudL","","putative Nudix hydrolase NudL","19","19","1","1","9065","","","","611","611","611","CIGDOPNK_04739","BNMDDFNN_01714","NMHOBMPN_00563","LGHNJHKC_04181","DEIJMABD_01223","CDBGKAIK_02359","CECHFLPG_04761","IKEEPGDJ_04419","GDNBNODK_04338","LEACNAEK_05571","CABJIOEI_09018","GNFPCNDJ_04980","AELPJDKL_03701","LGGGIJGP_09123","BGKEFAEA_01372","BKCAIGBL_05056","BBPGNFAN_02334","JKFCCDBN_02539","DOOJPGAP_03878"
"mlaD","","putative phospholipid ABC transporter-binding protein MlaD","19","19","1","1","8463","","","","473","473","473","CIGDOPNK_00793","BNMDDFNN_03583","NMHOBMPN_04392","LGHNJHKC_02146","DEIJMABD_04490","CDBGKAIK_04462","CECHFLPG_03004","IKEEPGDJ_03478","GDNBNODK_02542","LEACNAEK_01276","CABJIOEI_07572","GNFPCNDJ_03580","AELPJDKL_02786","LGGGIJGP_08197","BGKEFAEA_02403","BKCAIGBL_03654","BBPGNFAN_03191","JKFCCDBN_00861","DOOJPGAP_04599"
"yfcG_2","","Disulfide-bond oxidoreductase YfcG","19","19","1","1","10201","","","","602","602","602","CIGDOPNK_03417","BNMDDFNN_02307","NMHOBMPN_04820","LGHNJHKC_01604","DEIJMABD_00827","CDBGKAIK_04138","CECHFLPG_03409","IKEEPGDJ_02980","GDNBNODK_02986","LEACNAEK_00694","CABJIOEI_07323","GNFPCNDJ_03242","AELPJDKL_02448","LGGGIJGP_07857","BGKEFAEA_02651","BKCAIGBL_03316","BBPGNFAN_02864","JKFCCDBN_03284","DOOJPGAP_01701"
"cmpR_2","","HTH-type transcriptional activator CmpR","19","19","1","1","471","","","","950","950","950","CIGDOPNK_02675","BNMDDFNN_04897","NMHOBMPN_04117","LGHNJHKC_01431","DEIJMABD_05159","CDBGKAIK_03005","CECHFLPG_02068","IKEEPGDJ_01864","GDNBNODK_01722","LEACNAEK_00224","CABJIOEI_06442","GNFPCNDJ_01815","AELPJDKL_01563","LGGGIJGP_06353","BGKEFAEA_03665","BKCAIGBL_02042","BBPGNFAN_03673","JKFCCDBN_01883","DOOJPGAP_05623"
"group_10019","","hypothetical protein","19","19","1","1","7117","","","","209","209","209","CIGDOPNK_00708","BNMDDFNN_03661","NMHOBMPN_04312","LGHNJHKC_02066","DEIJMABD_04741","CDBGKAIK_04540","CECHFLPG_02926","IKEEPGDJ_03400","GDNBNODK_02464","LEACNAEK_01198","CABJIOEI_07651","GNFPCNDJ_03502","AELPJDKL_02708","LGGGIJGP_08118","BGKEFAEA_02325","BKCAIGBL_03576","BBPGNFAN_03113","JKFCCDBN_00783","DOOJPGAP_04677"
"group_10020","","hypothetical protein","19","19","1","1","13852","","","","347","347","347","CIGDOPNK_01663","BNMDDFNN_00784","NMHOBMPN_00184","LGHNJHKC_05614","DEIJMABD_04271","CDBGKAIK_05342","CECHFLPG_01338","IKEEPGDJ_01131","GDNBNODK_01150","LEACNAEK_01934","CABJIOEI_05989","GNFPCNDJ_01275","AELPJDKL_01110","LGGGIJGP_05932","BGKEFAEA_04263","BKCAIGBL_01350","BBPGNFAN_04776","JKFCCDBN_05409","DOOJPGAP_03480"
"sdhB","","Succinate dehydrogenase iron-sulfur subunit","19","19","1","1","10126","","","","707","707","707","CIGDOPNK_03344","BNMDDFNN_02379","NMHOBMPN_04747","LGHNJHKC_01531","DEIJMABD_00755","CDBGKAIK_04210","CECHFLPG_03481","IKEEPGDJ_02908","GDNBNODK_03058","LEACNAEK_00622","CABJIOEI_07395","GNFPCNDJ_03314","AELPJDKL_02520","LGGGIJGP_07929","BGKEFAEA_02579","BKCAIGBL_03388","BBPGNFAN_02936","JKFCCDBN_03356","DOOJPGAP_01629"
"gntR_2","","putative D-xylose utilization operon transcriptional repressor","19","19","1","1","13464","","","","713","713","713","CIGDOPNK_04156","BNMDDFNN_02813","NMHOBMPN_02418","LGHNJHKC_04835","DEIJMABD_01871","CDBGKAIK_01339","CECHFLPG_04405","IKEEPGDJ_05317","GDNBNODK_03723","LEACNAEK_02810","CABJIOEI_08397","GNFPCNDJ_04364","AELPJDKL_04444","LGGGIJGP_10059","BGKEFAEA_00113","BKCAIGBL_04698","BBPGNFAN_00980","JKFCCDBN_01362","DOOJPGAP_05076"
"mnhC1","","Na(+)/H(+) antiporter subunit C1","19","19","1","1","11875","","","","338","338","338","CIGDOPNK_05299","BNMDDFNN_00407","NMHOBMPN_03399","LGHNJHKC_03583","DEIJMABD_02688","CDBGKAIK_00461","CECHFLPG_05110","IKEEPGDJ_04742","GDNBNODK_04955","LEACNAEK_04578","CABJIOEI_09644","GNFPCNDJ_05329","AELPJDKL_04904","LGGGIJGP_09864","BGKEFAEA_01049","BKCAIGBL_05406","BBPGNFAN_00405","JKFCCDBN_05618","DOOJPGAP_01092"
"group_10024","","Dodecin","19","19","1","1","660","","","","215","215","215","CIGDOPNK_02493","BNMDDFNN_05151","NMHOBMPN_03943","LGHNJHKC_01250","DEIJMABD_03560","CDBGKAIK_02832","CECHFLPG_01895","IKEEPGDJ_01691","GDNBNODK_01895","LEACNAEK_00051","CABJIOEI_06618","GNFPCNDJ_01988","AELPJDKL_01736","LGGGIJGP_06529","BGKEFAEA_03838","BKCAIGBL_01869","BBPGNFAN_03846","JKFCCDBN_02056","DOOJPGAP_00039"
"ahpC","","Alkyl hydroperoxide reductase subunit C","19","19","1","1","7915","","","","563","563","563","CIGDOPNK_02390","BNMDDFNN_04097","NMHOBMPN_03839","LGHNJHKC_02902","DEIJMABD_05649","CDBGKAIK_02726","CECHFLPG_01458","IKEEPGDJ_01566","GDNBNODK_01343","LEACNAEK_00301","CABJIOEI_06109","GNFPCNDJ_01623","AELPJDKL_01309","LGGGIJGP_06286","BGKEFAEA_04149","BKCAIGBL_01697","BBPGNFAN_03952","JKFCCDBN_04703","DOOJPGAP_00145"
"dmlR_22","","HTH-type transcriptional regulator DmlR","19","19","1","1","9373","","","","890","890","890","CIGDOPNK_04338","BNMDDFNN_04709","NMHOBMPN_05341","LGHNJHKC_00815","DEIJMABD_03796","CDBGKAIK_04706","CECHFLPG_00650","IKEEPGDJ_00745","GDNBNODK_00919","LEACNAEK_03467","CABJIOEI_05764","GNFPCNDJ_00747","AELPJDKL_00886","LGGGIJGP_05377","BGKEFAEA_04962","BKCAIGBL_00768","BBPGNFAN_04229","JKFCCDBN_01790","DOOJPGAP_04277"
"nusA","","Transcription termination/antitermination protein NusA","19","19","1","1","9512","","","","1481","1481","1481","CIGDOPNK_00433","BNMDDFNN_02981","NMHOBMPN_02585","LGHNJHKC_00995","DEIJMABD_03928","CDBGKAIK_05471","CECHFLPG_00990","IKEEPGDJ_01007","GDNBNODK_00745","LEACNAEK_01803","CABJIOEI_05590","GNFPCNDJ_01030","AELPJDKL_00710","LGGGIJGP_05695","BGKEFAEA_04649","BKCAIGBL_01106","BBPGNFAN_05011","JKFCCDBN_01721","DOOJPGAP_04909"
"hisB","","Histidine biosynthesis bifunctional protein HisB","19","19","1","1","13211","","","","593","593","593","CIGDOPNK_03914","BNMDDFNN_02571","NMHOBMPN_02178","LGHNJHKC_04594","DEIJMABD_01631","CDBGKAIK_01098","CECHFLPG_04164","IKEEPGDJ_05558","GDNBNODK_03964","LEACNAEK_02569","CABJIOEI_08639","GNFPCNDJ_04605","AELPJDKL_04203","LGGGIJGP_10300","BGKEFAEA_00354","BKCAIGBL_04457","BBPGNFAN_01221","JKFCCDBN_01603","DOOJPGAP_05317"
"ssuB_2","","Aliphatic sulfonates import ATP-binding protein SsuB","19","19","1","1","7978","","","","749","749","749","CIGDOPNK_01752","BNMDDFNN_05297","NMHOBMPN_00275","LGHNJHKC_05703","DEIJMABD_04128","CDBGKAIK_05651","CECHFLPG_00180","IKEEPGDJ_00188","GDNBNODK_00143","LEACNAEK_01059","CABJIOEI_04857","GNFPCNDJ_00189","AELPJDKL_00148","LGGGIJGP_04875","BGKEFAEA_05373","BKCAIGBL_00261","BBPGNFAN_05408","JKFCCDBN_00461","DOOJPGAP_03570"
"fabF_1","","3-oxoacyl-[acyl-carrier-protein] synthase 2","19","19","1","1","12750","","","","1244","1244","1244","CIGDOPNK_02916","BNMDDFNN_01192","NMHOBMPN_01232","LGHNJHKC_05209","DEIJMABD_00252","CDBGKAIK_01748","CECHFLPG_03806","IKEEPGDJ_03854","GDNBNODK_03383","LEACNAEK_04132","CABJIOEI_08050","GNFPCNDJ_04024","AELPJDKL_03161","LGGGIJGP_08578","BGKEFAEA_01869","BKCAIGBL_04029","BBPGNFAN_01794","JKFCCDBN_04328","DOOJPGAP_03070"
"ttgW","","putative HTH-type transcriptional regulator TtgW","19","19","1","1","13304","","","","617","617","617","CIGDOPNK_03998","BNMDDFNN_02655","NMHOBMPN_02262","LGHNJHKC_04679","DEIJMABD_01716","CDBGKAIK_01183","CECHFLPG_04249","IKEEPGDJ_05473","GDNBNODK_03879","LEACNAEK_02654","CABJIOEI_08554","GNFPCNDJ_04520","AELPJDKL_04288","LGGGIJGP_10215","BGKEFAEA_00269","BKCAIGBL_04542","BBPGNFAN_01136","JKFCCDBN_01518","DOOJPGAP_05232"
"ygaV","","putative HTH-type transcriptional regulator YgaV","19","19","1","1","8568","","","","302","302","302","CIGDOPNK_00895","BNMDDFNN_03481","NMHOBMPN_04494","LGHNJHKC_00113","DEIJMABD_04388","CDBGKAIK_04360","CECHFLPG_03106","IKEEPGDJ_03580","GDNBNODK_02644","LEACNAEK_01378","CABJIOEI_07470","GNFPCNDJ_03682","AELPJDKL_02888","LGGGIJGP_08299","BGKEFAEA_02505","BKCAIGBL_03756","BBPGNFAN_03293","JKFCCDBN_00963","DOOJPGAP_04496"
"group_10033","","hypothetical protein","19","19","1","1","7555","","","","494","494","494","CIGDOPNK_01926","BNMDDFNN_03382","NMHOBMPN_02660","LGHNJHKC_03154","DEIJMABD_02226","CDBGKAIK_05137","CECHFLPG_01842","IKEEPGDJ_01342","GDNBNODK_01564","LEACNAEK_01671","CABJIOEI_06283","GNFPCNDJ_01364","AELPJDKL_01405","LGGGIJGP_06144","BGKEFAEA_03975","BKCAIGBL_01555","BBPGNFAN_04655","JKFCCDBN_01225","DOOJPGAP_00320"
"group_10034","","Acetyltransferase","19","19","1","1","12266","","","","425","425","425","CIGDOPNK_01377","BNMDDFNN_03877","NMHOBMPN_01615","LGHNJHKC_02699","DEIJMABD_01982","CDBGKAIK_03391","CECHFLPG_02495","IKEEPGDJ_02174","GDNBNODK_02302","LEACNAEK_05117","CABJIOEI_06909","GNFPCNDJ_02395","AELPJDKL_02026","LGGGIJGP_06936","BGKEFAEA_03238","BKCAIGBL_02352","BBPGNFAN_03544","JKFCCDBN_04806","DOOJPGAP_02711"
"group_10035","","hypothetical protein","19","19","1","1","12235","","","","314","314","314","CIGDOPNK_01406","BNMDDFNN_03849","NMHOBMPN_01588","LGHNJHKC_02726","DEIJMABD_01949","CDBGKAIK_03418","CECHFLPG_02522","IKEEPGDJ_02147","GDNBNODK_02329","LEACNAEK_05090","CABJIOEI_06882","GNFPCNDJ_02422","AELPJDKL_01999","LGGGIJGP_06963","BGKEFAEA_03211","BKCAIGBL_02325","BBPGNFAN_03571","JKFCCDBN_04779","DOOJPGAP_02738"
"group_10036","","hypothetical protein","19","19","1","1","500","","","","335","335","335","CIGDOPNK_02647","BNMDDFNN_04869","NMHOBMPN_04088","LGHNJHKC_01403","DEIJMABD_05187","CDBGKAIK_02977","CECHFLPG_02040","IKEEPGDJ_01836","GDNBNODK_01750","LEACNAEK_00196","CABJIOEI_06470","GNFPCNDJ_01843","AELPJDKL_01591","LGGGIJGP_06381","BGKEFAEA_03693","BKCAIGBL_02014","BBPGNFAN_03701","JKFCCDBN_01911","DOOJPGAP_05651"
"pilT_1","","Twitching mobility protein","19","19","1","1","7467","","","","1034","1034","1034","CIGDOPNK_02014","BNMDDFNN_03295","NMHOBMPN_02747","LGHNJHKC_03241","DEIJMABD_02314","CDBGKAIK_05223","CECHFLPG_01756","IKEEPGDJ_01256","GDNBNODK_01650","LEACNAEK_01585","CABJIOEI_06370","GNFPCNDJ_01450","AELPJDKL_01491","LGGGIJGP_06057","BGKEFAEA_03889","BKCAIGBL_01469","BBPGNFAN_04569","JKFCCDBN_01139","DOOJPGAP_00406"
"ugpA","","sn-glycerol-3-phosphate transport system permease protein UgpA","19","19","1","1","337","","","","932","932","932","CIGDOPNK_01484","BNMDDFNN_00965","NMHOBMPN_00004","LGHNJHKC_05434","DEIJMABD_05319","CDBGKAIK_01978","CECHFLPG_00931","IKEEPGDJ_00948","GDNBNODK_00686","LEACNAEK_04336","CABJIOEI_05424","GNFPCNDJ_00866","AELPJDKL_00546","LGGGIJGP_05529","BGKEFAEA_04706","BKCAIGBL_00942","BBPGNFAN_01564","JKFCCDBN_03506","DOOJPGAP_03300"
"rpsB","","30S ribosomal protein S2","19","19","1","1","8134","","","","740","740","740","CIGDOPNK_04837","BNMDDFNN_01615","NMHOBMPN_00465","LGHNJHKC_04280","DEIJMABD_01336","CDBGKAIK_02260","CECHFLPG_04859","IKEEPGDJ_04321","GDNBNODK_04436","LEACNAEK_05473","CABJIOEI_09117","GNFPCNDJ_05078","AELPJDKL_03799","LGGGIJGP_09222","BGKEFAEA_01470","BKCAIGBL_05155","BBPGNFAN_02432","JKFCCDBN_02638","DOOJPGAP_03780"
"gltC_4","","HTH-type transcriptional regulator GltC","19","19","1","1","7831","","","","920","920","920","CIGDOPNK_02316","BNMDDFNN_04177","NMHOBMPN_03765","LGHNJHKC_02975","DEIJMABD_05510","CDBGKAIK_02647","CECHFLPG_01537","IKEEPGDJ_01645","GDNBNODK_01264","LEACNAEK_04311","CABJIOEI_06188","GNFPCNDJ_01544","AELPJDKL_01230","LGGGIJGP_06207","BGKEFAEA_04070","BKCAIGBL_01618","BBPGNFAN_04031","JKFCCDBN_03632","DOOJPGAP_00224"
"gcvR","","Glycine cleavage system transcriptional repressor","19","19","1","1","11932","","","","557","557","557","CIGDOPNK_05248","BNMDDFNN_00352","NMHOBMPN_03347","LGHNJHKC_03533","DEIJMABD_02636","CDBGKAIK_00511","CECHFLPG_05060","IKEEPGDJ_04692","GDNBNODK_04905","LEACNAEK_04528","CABJIOEI_09593","GNFPCNDJ_05279","AELPJDKL_04854","LGGGIJGP_09915","BGKEFAEA_01099","BKCAIGBL_05356","BBPGNFAN_00355","JKFCCDBN_05668","DOOJPGAP_01042"
"group_10042","","hypothetical protein","19","19","1","1","12978","","","","188","188","188","CIGDOPNK_03132","BNMDDFNN_01415","NMHOBMPN_01456","LGHNJHKC_04978","DEIJMABD_00039","CDBGKAIK_01535","CECHFLPG_03593","IKEEPGDJ_04066","GDNBNODK_03170","LEACNAEK_03919","CABJIOEI_07837","GNFPCNDJ_03811","AELPJDKL_03373","LGGGIJGP_08792","BGKEFAEA_02082","BKCAIGBL_04243","BBPGNFAN_02006","JKFCCDBN_04540","DOOJPGAP_02857"
"group_10043","","hypothetical protein","19","19","1","1","13116","","","","209","209","209","CIGDOPNK_03825","BNMDDFNN_05467","NMHOBMPN_02082","LGHNJHKC_04508","DEIJMABD_01544","CDBGKAIK_01011","CECHFLPG_04077","IKEEPGDJ_05645","GDNBNODK_04051","LEACNAEK_02482","CABJIOEI_08726","GNFPCNDJ_04692","AELPJDKL_04116","LGGGIJGP_10387","BGKEFAEA_00441","BKCAIGBL_04370","BBPGNFAN_01308","JKFCCDBN_00548","DOOJPGAP_05404"
"apbC","","Iron-sulfur cluster carrier protein","19","19","1","1","8015","","","","1094","1094","1094","CIGDOPNK_01786","BNMDDFNN_01458","NMHOBMPN_00309","LGHNJHKC_00634","DEIJMABD_06140","CDBGKAIK_05617","CECHFLPG_00092","IKEEPGDJ_00116","GDNBNODK_00084","LEACNAEK_05328","CABJIOEI_04813","GNFPCNDJ_00117","AELPJDKL_00089","LGGGIJGP_04803","BGKEFAEA_05415","BKCAIGBL_00189","BBPGNFAN_05449","JKFCCDBN_05322","DOOJPGAP_03604"
"fosA_1","","Glutathione transferase FosA","19","19","1","1","90","","","","413","413","413","CIGDOPNK_01693","BNMDDFNN_05238","NMHOBMPN_00214","LGHNJHKC_05644","DEIJMABD_04238","CDBGKAIK_05372","CECHFLPG_01368","IKEEPGDJ_01161","GDNBNODK_01120","LEACNAEK_01904","CABJIOEI_06019","GNFPCNDJ_01245","AELPJDKL_01140","LGGGIJGP_05962","BGKEFAEA_04293","BKCAIGBL_01320","BBPGNFAN_04806","JKFCCDBN_05439","DOOJPGAP_03510"
